month,usage_kwh,generation_kwh
2025-01,949.6195475979958,661.293604
2025-02,726.3283189320258,785.132477
2025-03,719.9525015071135,1010.977081
2025-04,694.2797524314766,1070.457647
2025-05,600.9227265694076,1092.634116
2025-06,547.5793766578249,1087.283936
2025-07,512.8817462422635,985.301742
2025-08,551.0232968611848,1004.719339
2025-09,490.6372900088417,938.083749
2025-10,573.9737038418049,942.487769
2025-11,942.8684922236238,735.880413
2025-12,934.729279398762,632.109035
