DATE,USAGE (kWh),TYPE,original_kwh,adjusted_kwh
2025-01-01 00:00:00,1.46,Electric,1.46,1.46
2025-01-01 01:00:00,0.95,Electric,0.95,0.95
2025-01-01 02:00:00,1.24,Electric,1.24,1.24
2025-01-01 03:00:00,1.52,Electric,1.52,1.52
2025-01-01 04:00:00,1.4,Electric,1.4,1.4
2025-01-01 05:00:00,1.5,Electric,1.5,1.5
2025-01-01 06:00:00,1.26,Electric,1.26,1.26
2025-01-01 07:00:00,1.0,Electric,1.0,1.0
2025-01-01 08:00:00,1.09,Electric,1.09,1.09
2025-01-01 09:00:00,1.51,Electric,1.51,1.51
2025-01-01 10:00:00,1.39,Electric,1.39,3.6899999999999995
2025-01-01 11:00:00,1.52,Electric,1.52,4.980730769230769
2025-01-01 12:00:00,0.77,Electric,0.77,4.230730769230769
2025-01-01 13:00:00,0.8400000000000001,Electric,0.8400000000000001,4.3007307692307695
2025-01-01 14:00:00,0.55,Electric,0.55,2.8499999999999996
2025-01-01 15:00:00,1.54,Electric,1.54,1.54
2025-01-01 16:00:00,2.02,Electric,2.02,2.02
2025-01-01 17:00:00,2.13,Electric,2.13,5.4254080459770115
2025-01-01 18:00:00,2.37,Electric,2.37,5.665408045977012
2025-01-01 19:00:00,0.48,Electric,0.48,0.48
2025-01-01 20:00:00,0.29000000000000004,Electric,0.29000000000000004,0.29000000000000004
2025-01-01 21:00:00,0.25,Electric,0.25,0.25
2025-01-01 22:00:00,0.41,Electric,0.41,0.41
2025-01-01 23:00:00,0.75,Electric,0.75,0.75
2025-01-02 00:00:00,0.86,Electric,0.86,0.86
2025-01-02 01:00:00,1.36,Electric,1.36,1.36
2025-01-02 02:00:00,1.06,Electric,1.06,1.06
2025-01-02 03:00:00,1.06,Electric,1.06,1.06
2025-01-02 04:00:00,1.07,Electric,1.07,1.07
2025-01-02 05:00:00,1.12,Electric,1.12,1.12
2025-01-02 06:00:00,1.3900000000000001,Electric,1.3900000000000001,1.3900000000000001
2025-01-02 07:00:00,1.3199999999999998,Electric,1.3199999999999998,1.3199999999999998
2025-01-02 08:00:00,0.56,Electric,0.56,0.56
2025-01-02 09:00:00,0.17,Electric,0.17,0.17
2025-01-02 10:00:00,0.72,Electric,0.72,0.72
2025-01-02 11:00:00,0.6499999999999999,Electric,0.6499999999999999,1.0369102564102564
2025-01-02 12:00:00,0.74,Electric,0.74,1.1269102564102564
2025-01-02 13:00:00,0.1,Electric,0.1,0.4869102564102564
2025-01-02 14:00:00,0.2,Electric,0.2,0.2
2025-01-02 15:00:00,0.56,Electric,0.56,0.56
2025-01-02 16:00:00,0.9299999999999999,Electric,0.9299999999999999,0.9299999999999999
2025-01-02 17:00:00,0.25,Electric,0.25,1.3484693486590038
2025-01-02 18:00:00,0.8500000000000001,Electric,0.8500000000000001,1.948469348659004
2025-01-02 19:00:00,0.9600000000000001,Electric,0.9600000000000001,0.9600000000000001
2025-01-02 20:00:00,0.6000000000000001,Electric,0.6000000000000001,0.6000000000000001
2025-01-02 21:00:00,0.61,Electric,0.61,0.61
2025-01-02 22:00:00,0.76,Electric,0.76,0.76
2025-01-02 23:00:00,0.5499999999999999,Electric,0.5499999999999999,0.5499999999999999
2025-01-03 00:00:00,0.92,Electric,0.92,0.92
2025-01-03 01:00:00,0.9199999999999999,Electric,0.9199999999999999,0.9199999999999999
2025-01-03 02:00:00,0.5700000000000001,Electric,0.5700000000000001,0.5700000000000001
2025-01-03 03:00:00,0.67,Electric,0.67,0.67
2025-01-03 04:00:00,0.91,Electric,0.91,0.91
2025-01-03 05:00:00,0.63,Electric,0.63,0.63
2025-01-03 06:00:00,0.57,Electric,0.57,0.57
2025-01-03 07:00:00,1.3900000000000001,Electric,1.3900000000000001,1.3900000000000001
2025-01-03 08:00:00,1.5999999999999999,Electric,1.5999999999999999,1.5999999999999999
2025-01-03 09:00:00,0.9199999999999999,Electric,0.9199999999999999,0.9199999999999999
2025-01-03 10:00:00,0.91,Electric,0.91,3.21
2025-01-03 11:00:00,2.49,Electric,2.49,5.176910256410256
2025-01-03 12:00:00,0.55,Electric,0.55,3.2369102564102565
2025-01-03 13:00:00,0.26,Electric,0.26,2.9469102564102565
2025-01-03 14:00:00,0.22999999999999998,Electric,0.22999999999999998,2.53
2025-01-03 15:00:00,0.22999999999999998,Electric,0.22999999999999998,0.22999999999999998
2025-01-03 16:00:00,0.26,Electric,0.26,0.26
2025-01-03 17:00:00,0.58,Electric,0.58,1.6784693486590037
2025-01-03 18:00:00,1.86,Electric,1.86,2.958469348659004
2025-01-03 19:00:00,1.26,Electric,1.26,1.26
2025-01-03 20:00:00,0.6799999999999999,Electric,0.6799999999999999,0.6799999999999999
2025-01-03 21:00:00,0.98,Electric,0.98,0.98
2025-01-03 22:00:00,0.67,Electric,0.67,0.67
2025-01-03 23:00:00,1.0899999999999999,Electric,1.0899999999999999,1.0899999999999999
2025-01-04 00:00:00,0.65,Electric,0.65,0.65
2025-01-04 01:00:00,1.04,Electric,1.04,1.04
2025-01-04 02:00:00,1.11,Electric,1.11,1.11
2025-01-04 03:00:00,1.03,Electric,1.03,1.03
2025-01-04 04:00:00,1.23,Electric,1.23,1.23
2025-01-04 05:00:00,1.1,Electric,1.1,1.1
2025-01-04 06:00:00,1.08,Electric,1.08,1.08
2025-01-04 07:00:00,1.2,Electric,1.2,1.2
2025-01-04 08:00:00,1.06,Electric,1.06,1.06
2025-01-04 09:00:00,0.9199999999999999,Electric,0.9199999999999999,0.9199999999999999
2025-01-04 10:00:00,0.63,Electric,0.63,2.9299999999999997
2025-01-04 11:00:00,0.76,Electric,0.76,3.4469102564102565
2025-01-04 12:00:00,0.14,Electric,0.14,2.8269102564102564
2025-01-04 13:00:00,0.32,Electric,0.32,3.006910256410256
2025-01-04 14:00:00,0.16,Electric,0.16,2.46
2025-01-04 15:00:00,0.31,Electric,0.31,0.31
2025-01-04 16:00:00,2.29,Electric,2.29,2.29
2025-01-04 17:00:00,2.56,Electric,2.56,3.658469348659004
2025-01-04 18:00:00,1.8,Electric,1.8,2.898469348659004
2025-01-04 19:00:00,0.73,Electric,0.73,0.73
2025-01-04 20:00:00,0.64,Electric,0.64,0.64
2025-01-04 21:00:00,1.04,Electric,1.04,1.04
2025-01-04 22:00:00,0.81,Electric,0.81,0.81
2025-01-04 23:00:00,0.91,Electric,0.91,0.91
2025-01-05 00:00:00,1.06,Electric,1.06,1.06
2025-01-05 01:00:00,1.13,Electric,1.13,1.13
2025-01-05 02:00:00,0.97,Electric,0.97,0.97
2025-01-05 03:00:00,1.19,Electric,1.19,1.19
2025-01-05 04:00:00,1.21,Electric,1.21,1.21
2025-01-05 05:00:00,0.99,Electric,0.99,0.99
2025-01-05 06:00:00,1.1600000000000001,Electric,1.1600000000000001,1.1600000000000001
2025-01-05 07:00:00,1.41,Electric,1.41,1.41
2025-01-05 08:00:00,1.71,Electric,1.71,1.71
2025-01-05 09:00:00,0.13,Electric,0.13,0.13
2025-01-05 10:00:00,0.2,Electric,0.2,2.5
2025-01-05 11:00:00,0.15,Electric,0.15,2.833153846153846
2025-01-05 12:00:00,0.1,Electric,0.1,2.783153846153846
2025-01-05 13:00:00,0.21,Electric,0.21,2.893153846153846
2025-01-05 14:00:00,0.45,Electric,0.45,2.75
2025-01-05 15:00:00,0.15,Electric,0.15,0.15
2025-01-05 16:00:00,0.32,Electric,0.32,0.32
2025-01-05 17:00:00,0.29,Electric,0.29,1.3778045977011497
2025-01-05 18:00:00,1.43,Electric,1.43,2.51780459770115
2025-01-05 19:00:00,0.78,Electric,0.78,0.78
2025-01-05 20:00:00,0.6900000000000001,Electric,0.6900000000000001,0.6900000000000001
2025-01-05 21:00:00,1.26,Electric,1.26,1.26
2025-01-05 22:00:00,0.8700000000000001,Electric,0.8700000000000001,0.8700000000000001
2025-01-05 23:00:00,1.5,Electric,1.5,1.5
2025-01-06 00:00:00,1.52,Electric,1.52,1.52
2025-01-06 01:00:00,1.84,Electric,1.84,1.84
2025-01-06 02:00:00,1.85,Electric,1.85,1.85
2025-01-06 03:00:00,2.17,Electric,2.17,2.17
2025-01-06 04:00:00,1.84,Electric,1.84,1.84
2025-01-06 05:00:00,1.92,Electric,1.92,1.92
2025-01-06 06:00:00,1.9300000000000002,Electric,1.9300000000000002,1.9300000000000002
2025-01-06 07:00:00,2.05,Electric,2.05,2.05
2025-01-06 08:00:00,0.7300000000000001,Electric,0.7300000000000001,0.7300000000000001
2025-01-06 09:00:00,0.38,Electric,0.38,0.38
2025-01-06 10:00:00,0.47000000000000003,Electric,0.47000000000000003,0.47000000000000003
2025-01-06 11:00:00,0.28,Electric,0.28,0.6631538461538462
2025-01-06 12:00:00,0.66,Electric,0.66,1.0431538461538463
2025-01-06 13:00:00,1.05,Electric,1.05,1.4331538461538462
2025-01-06 14:00:00,1.3199999999999998,Electric,1.3199999999999998,1.3199999999999998
2025-01-06 15:00:00,0.7000000000000001,Electric,0.7000000000000001,0.7000000000000001
2025-01-06 16:00:00,0.28,Electric,0.28,0.28
2025-01-06 17:00:00,1.26,Electric,1.26,2.34780459770115
2025-01-06 18:00:00,1.66,Electric,1.66,2.7478045977011494
2025-01-06 19:00:00,1.7600000000000002,Electric,1.7600000000000002,1.7600000000000002
2025-01-06 20:00:00,1.5,Electric,1.5,1.5
2025-01-06 21:00:00,1.4500000000000002,Electric,1.4500000000000002,1.4500000000000002
2025-01-06 22:00:00,1.87,Electric,1.87,1.87
2025-01-06 23:00:00,1.73,Electric,1.73,1.73
2025-01-07 00:00:00,1.83,Electric,1.83,1.83
2025-01-07 01:00:00,1.9,Electric,1.9,1.9
2025-01-07 02:00:00,1.74,Electric,1.74,1.74
2025-01-07 03:00:00,1.82,Electric,1.82,1.82
2025-01-07 04:00:00,2.0300000000000002,Electric,2.0300000000000002,2.0300000000000002
2025-01-07 05:00:00,1.8199999999999998,Electric,1.8199999999999998,1.8199999999999998
2025-01-07 06:00:00,2.19,Electric,2.19,2.19
2025-01-07 07:00:00,1.79,Electric,1.79,1.79
2025-01-07 08:00:00,0.62,Electric,0.62,0.62
2025-01-07 09:00:00,0.52,Electric,0.52,0.52
2025-01-07 10:00:00,0.53,Electric,0.53,0.53
2025-01-07 11:00:00,0.4,Electric,0.4,0.7831538461538463
2025-01-07 12:00:00,0.24,Electric,0.24,0.6231538461538462
