,4.5,5.5,6.4,7.5
0,1072.0998954262197,825.2354249530847,640.9027353789272,463.1226121579049
10,920.5980205788826,666.4664714268039,491.45746313472955,314.82757798816954
20,819.8124100747168,573.3772122391224,396.1020550413365,228.51710551193878
30,765.0918571456423,517.0199195701827,345.55865953973125,194.93239346989924
40,752.4269713945325,499.71321533872816,336.92921172965686,191.2346245137055
50,779.7532497575316,518.6185932778681,357.17803957047397,210.65816325536065
60,848.071559058355,574.0994158185603,406.5098510965747,254.52708215467408
70,982.2874478647399,678.8307365587126,497.34235986441206,331.8973756049114
