,4.5,5.5,6.4,7.5
0,201.02244854253206,121.98241596407624,62.981046197672775,0.6054068718924697
10,157.6826463849865,85.33092179022424,33.56710616186749,-21.206269581436054
20,134.31681889793302,71.06533111545659,22.188682014190448,-29.4769673653428
30,127.19378201036288,68.01413551213682,21.93257812089891,-31.586307640000122
40,131.2098317977665,74.1018148181048,30.22387379417416,-21.505870168985595
50,143.79254956988913,87.39734649691766,43.90575208816016,-1.6989439487787052
60,165.85813155613857,106.89714153099442,64.77231193930254,20.382388755864163
70,202.4224548228487,136.02770716387803,91.9651064243256,51.32931873770903
