,5.5,6.4,6.9,7.5
0,1005.2354249530845,820.9027353789272,735.617649586822,643.1226121579049
10,846.4664714268039,671.4574631347296,589.5338441487604,494.82757798816954
20,753.3772122391223,576.1020550413364,496.066364756195,408.5171055119388
30,697.0199195701828,525.5586595397313,444.84729099363597,374.93239346989924
40,679.7132153387282,516.9292117296568,445.3678103719527,371.23462451370557
50,698.6185932778681,537.1780395704741,466.75468903210856,390.6581632553607
60,754.0994158185601,586.5098510965747,513.6991693303399,434.5270821546741
70,858.8307365587126,677.3423598644121,598.9531587394032,511.8973756049115
